
   -------Printing List Start------- 
| Location | ID | Size | Start | End  |
|    01    | 01 |  30  |  0044 | 0074 |
|    02    | 02 |  17  |  0074 | 0091 |
|    04    | 04 |  11  |  0114 | 0125 |
|    06    | 06 |  33  |  0139 | 0172 |
|    07    | 07 |  21  |  0172 | 0193 |
|    08    | 08 |  10  |  0193 | 0203 |
|    09    | 09 |  08  |  0203 | 0211 |
    -------Printing List End------- 

   -------Printing List Start------- 
| Location | ID | Size | Start | End  |
|    02    | 02 |  17  |  0074 | 0091 |
|    04    | 04 |  11  |  0114 | 0125 |
|    06    | 06 |  33  |  0139 | 0172 |
|    07    | 07 |  21  |  0172 | 0193 |
|    08    | 08 |  10  |  0193 | 0203 |
|    09    | 09 |  08  |  0203 | 0211 |
    -------Printing List End------- 

 Error: node 40 is over 1024 bytes 

   -------Printing List Start------- 
| Location | ID | Size | Start | End  |
|    00    | 36 |  33  |  0000 | 0044 |
|    01    | 39 |  24  |  0044 | 0074 |
|    02    | 02 |  17  |  0074 | 0091 |
|    04    | 04 |  11  |  0114 | 0125 |
|    06    | 06 |  33  |  0139 | 0172 |
|    07    | 07 |  21  |  0172 | 0193 |
|    09    | 09 |  08  |  0203 | 0211 |
|    10    | 10 |  18  |  0211 | 0229 |
|    11    | 11 |  09  |  0229 | 0238 |
|    12    | 12 |  15  |  0238 | 0253 |
|    13    | 41 |  34  |  0253 | 0291 |
|    14    | 14 |  18  |  0291 | 0309 |
|    15    | 38 |  45  |  0309 | 0359 |
|    16    | 43 |  25  |  0359 | 0387 |
|    17    | 17 |  33  |  0387 | 0420 |
|    18    | 18 |  24  |  0420 | 0444 |
|    19    | 19 |  17  |  0444 | 0461 |
|    20    | 44 |  27  |  0461 | 0498 |
|    21    | 21 |  44  |  0498 | 0542 |
|    22    | 22 |  16  |  0542 | 0558 |
|    23    | 23 |  15  |  0558 | 0573 |
|    24    | 24 |  18  |  0573 | 0591 |
|    25    | 42 |  34  |  0591 | 0634 |
|    26    | 26 |  33  |  0634 | 0667 |
|    28    | 28 |  45  |  0696 | 0741 |
|    29    | 29 |  28  |  0741 | 0769 |
|    30    | 30 |  40  |  0769 | 0809 |
|    32    | 32 |  39  |  0847 | 0886 |
|    33    | 33 |  25  |  0886 | 0911 |
|    34    | 45 |  47  |  0911 | 0959 |
|    35    | 35 |  43  |  0959 | 1002 |
|    37    | 37 |  21  |  1002 | 1023 |
    -------Printing List End------- 

 Error: node 50 is over 1024 bytes 

   -------Printing List Start------- 
| Location | ID | Size | Start | End  |
|    00    | 36 |  33  |  0000 | 0044 |
|    01    | 39 |  24  |  0044 | 0074 |
|    02    | 02 |  17  |  0074 | 0091 |
|    04    | 04 |  11  |  0114 | 0125 |
|    06    | 06 |  33  |  0139 | 0172 |
|    07    | 07 |  21  |  0172 | 0193 |
|    09    | 09 |  08  |  0203 | 0211 |
|    10    | 10 |  18  |  0211 | 0229 |
|    11    | 11 |  09  |  0229 | 0238 |
|    12    | 12 |  15  |  0238 | 0253 |
|    13    | 41 |  34  |  0253 | 0291 |
|    14    | 14 |  18  |  0291 | 0309 |
|    15    | 38 |  45  |  0309 | 0359 |
|    16    | 43 |  25  |  0359 | 0387 |
|    17    | 17 |  33  |  0387 | 0420 |
|    18    | 18 |  24  |  0420 | 0444 |
|    19    | 19 |  17  |  0444 | 0461 |
|    20    | 44 |  27  |  0461 | 0498 |
|    21    | 21 |  44  |  0498 | 0542 |
|    23    | 23 |  15  |  0558 | 0573 |
|    24    | 24 |  18  |  0573 | 0591 |
|    25    | 42 |  34  |  0591 | 0634 |
|    26    | 26 |  33  |  0634 | 0667 |
|    27    | 46 |  26  |  0667 | 0696 |
|    28    | 28 |  45  |  0696 | 0741 |
|    29    | 29 |  28  |  0741 | 0769 |
|    30    | 49 |  29  |  0769 | 0809 |
|    31    | 47 |  30  |  0809 | 0847 |
|    32    | 48 |  25  |  0847 | 0886 |
|    33    | 33 |  25  |  0886 | 0911 |
|    34    | 45 |  47  |  0911 | 0959 |
|    35    | 35 |  43  |  0959 | 1002 |
|    37    | 37 |  21  |  1002 | 1023 |
    -------Printing List End------- 
